Embryo,Genotype,Background,Stage_Group,Fused_Ventrally,Reduced_Fissure,Anophthalmia,Side_If_Anophtalmia,Missing_or_Inside,Curly_Tail,Smooth_Pointed_Philthrum,Forked_Kinked_Hooked_Tail,Spina_Bifida,Reduced_Forebrain,Reduced_Lat_Vents
210821_b6ku_3_e4_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210926_b6ku_22298_e6_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22299_e3_wt,WT,C57BL6,2,N,N,N,N,N,N,N,Y,N,N,N
210926_b6ku_22298_e10_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210821_b6ku_3_e7_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210829_b6ku_22296_e1_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,Y,N
210926_b6ku_22298_e9_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e2_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22297_e4_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210821_b6ku_3_e6_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22297_e7_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e1_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e3_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22299_e4_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210928_b6ku_22296_e2_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22999_e6_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210926_b6ku_22299_e5_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22297_e5_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210821_b6ku_3_e5_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210821_b6ku_3_e8_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e5_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22297_e6_wt,WT,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
200926_ku20_e1_wt_veh,WT,C3H,2,N,N,N,N,N,N,N,N,N,N,N
201210_ku25_e7_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,Y,N,N,N
201127_ku55_e6_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,N,N,N,N
201220_ku52_e2_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,N,N,N,N
201127_ku22_e8_wt_veh,WT,C3H,1,N,Y,N,N,N,N,N,N,N,N,N
201210_ku52_e3_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,N,N,N,N
201210_ku55_e2_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,N,N,N,N
200926_ku20_e2_wt_veh,WT,C3H,2,N,N,N,N,N,N,N,Y,N,N,N
201126_ku28_e2_wt_veh,WT,C3H,2,N,N,N,N,N,N,N,N,N,N,N
201127_ku22_e1_wt_veh,WT,C3H,1,N,N,N,N,N,N,N,N,N,N,N
201123_ku26_e4_wt_veh,WT,C3H,1,N,Y,N,N,N,N,N,Y,N,N,N
201124_ku55_e1_wt_veh,WT,C3H,1,N,,N,N,N,N,N,N,N,N,N
201210_ku52_e4_wt_veh,WT,C3H,2,N,N,N,N,N,N,N,Y,N,N,N
201124_ku55_e3_wt_veh,WT,C3H,1,N,Y,N,N,N,N,N,N,N,N,N
201123_ku23_e2_wt_veh,WT,C3H,2,N,N,N,N,N,N,N,N,N,N,N
201127_ku23_e3_wt_veh,WT,C3H,2,N,Y,N,N,N,N,N,Y,N,N,N
210926_b6ku_22296_e8_het,HET,C57BL6,2,N,Y,Y,Right,Inside,Y,N,N,N,N,N
210926_b6ku_22296_e4_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e6_het,HET,C57BL6,2,Y,Y,N,N,N,N,Y,N,N,N,N
210913_b6ku_22299_e7_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210926_b6ku_22300_e9_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210926_b6ku_22296_e3_het,HET,C57BL6,2,N,Y,Y,Right,Missing,N,N,N,N,N,N
210926_b6ku_22296_e7_het,HET,C57BL6,2,Y,N,Y,Both,Missing,N,N,N,N,N,Y
210913_b6ku_22300_e7_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210926_b6ku_22298_e5_het,HET,C57BL6,2,N,N,N,Both,Inside,Y,N,N,N,N,N
210926_b6ku_22298_e1_het,HET,C57BL6,2,N,N,N,N,N,N,N,Y,N,N,N
210926_b6ku_22299_e1_het,HET,C57BL6,2,Y,Y,Y,Left,Missing,N,N,N,N,N,N
210926_b6ku_22296_e5_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210913_b6ku_22300_e4_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,N,N
210821_b6ku_3_e3_het,HET,C57BL6,2,N,N,N,N,N,N,N,Y,N,N,N
210926_b6ku_22298_e7_het,HET,C57BL6,2,N,N,N,N,N,N,N,N,N,Y,N
210926_b6ku_22296_e6_het,HET,C57BL6,2,N,N,N,N,N,Y,N,N,N,N,N
210913_b6ku_22297_e8_het,HET,C57BL6,2,N,N,Y,Right,Inside,N,N,N,N,N,N
210913_b6ku_22300_e8_het,HET,C57BL6,2,Y,Y,N,N,N,N,Y,N,N,Y,Y
210926_b6ku_22298_e2_het,HET,C57BL6,2,N,N,N,N,N,N,N,Y,N,N,N
210913_b6ku_22297_e1_het,HET,C57BL6,2,N,N,N,N,N,N,N,Y,N,N,N
201210_ku25_e1_het_veh,HET,C3H,1,N,N,N,N,N,N,N,N,N,N,N
201127_ku26_e5_het_veh,HET,C3H,2,N,N,N,N,N,Y,N,N,Y,N,Y
201210_ku52_e7_het_veh,HET,C3H,1,N,N,N,N,N,N,N,Y,N,N,N
201210_ku52_e1_het_veh,HET,C3H,2,N,Y,N,N,N,Y,N,N,Y,N,Y
201127_ku28_e6_het_veh,HET,C3H,2,N,Y,N,N,N,N,N,N,N,N,N
201127_ku22_e5_het_veh,HET,C3H,1,N,Y,N,N,N,N,N,Y,N,N,N
201210_ku25_e8_het_veh,HET,C3H,1,N,N,N,N,N,Y,N,N,N,N,N
201130_ku28_e4_het_veh,HET,C3H,1,N,Y,N,N,N,N,N,N,N,N,N
201127_ku22_e2_het_veh,HET,C3H,2,N,Y,N,N,N,N,N,Y,N,N,N
201210_ku25_e9_het_veh,HET,C3H,1,N,N,N,N,N,N,N,Y,N,N,N
201127_ku22_e3_het_veh,HET,C3H,1,N,Y,N,N,N,Y,N,N,N,N,N
201124_ku28_e5_het_veh,HET,C3H,1,N,Y,N,N,N,N,N,N,N,N,N
201124_ku28_e3_het_veh,HET,C3H,1,N,N,N,N,N,N,N,Y,N,N,N
201210_ku25_e5_het_veh,HET,C3H,1,N,Y,N,N,N,N,N,Y,N,N,N
BL6Ku_3_e1,HET,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6Ku_3_e2,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6_22299_e2,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6_22297_e2,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6_22297_e3,HET,C57BL6,2,,,Y,Right,,N,N,Y,N,,
BL6_22298_e3,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6_22298_e4,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
BL6_22298_e8,WT,C57BL6,2,,,N,N,N,N,N,Y,N,,
BL6_22296_e2,WT,C57BL6,2,,,N,N,N,N,N,N,N,,
KuG32_20_e3,HET,C3H,2,,,N,N,N,N,N,Y,N,,
C3HG30_26_e1,HET,C3H,2,,,N,N,N,N,N,Y,N,,
C3HG30_26_e2,HET,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_26_e3,HET,C3H,1,,,N,N,N,Y,N,N,N,,
C3HG30_26_e6,WT,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_26_e7,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_22_e3,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_22_e4,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_22_e6,WT,C3H,2,,,N,N,N,N,N,Y,N,,
C3HG30_22_e7,HET,C3H,2,,,N,N,N,N,N,N,N,,
C3HG30_23_e1,WT,C3H,3,,,N,N,N,N,N,N,N,,
C3HG30_23_e4,HET,C3H,2,,,N,N,N,N,N,N,N,,
C3HG30_23_e5,HET,C3H,1,,,N,N,N,Y,N,N,Y,,
C3HG30_23_e6,WT,C3H,0,,,N,N,N,N,N,N,N,,
C3HG30_55_e2,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_55_e4,HET,C3H,1,,,N,N,N,N,N,Y,Y,,
C3HG30_55_e5,WT,C3H,2,,,N,N,N,N,N,N,N,,
C3HG30_55_e7,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_25_e1,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_25_e2,WT,C3H,1,,,N,N,N,N,N,N,N,,
C3HG30_25_e3,HET,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_25_e4,HET,C3H,0,,,N,N,N,N,N,N,Y,,
C3HG30_25_e6,HET,C3H,2,,,N,N,N,N,N,Y,N,,
C3HG30_25_e8,HET,C3H,1,,,N,N,N,N,N,N,Y,,
C3HG30_52_e2,WT,C3H,1,,,N,N,N,N,N,Y,N,,
C3HG30_52_e5,HET,C3H,2,,,N,N,N,N,N,N,N,,
C3HG30_52_e6,HET,C3H,1,,,N,N,N,N,N,N,N,,
